,Author,Book,Genre,Year,Searching_Value,Searching_Value2
0,Warwick Deeping,The Ten Commandments,fiction,1931,The Ten Commandments Warwick Deeping,The+Ten+Commandments+Warwick+Deeping
1,John Galsworthy,Maid in Waiting,fiction,1931,Maid in Waiting John Galsworthy,Maid+in+Waiting+John+Galsworthy
2,William McFee,The Harbourmaster,fiction,1932,The Harbourmaster William McFee,The+Harbourmaster+William+McFee
3,Francis Brett Young,Mr. and Mrs. Pennington,fiction,1932,Mr. and Mrs. Pennington Francis Brett Young,Mr.+and+Mrs.+Pennington+Francis+Brett+Young
4,Robert Herrick,The End of Desire,fiction,1932,The End of Desire Robert Herrick,The+End+of+Desire+Robert+Herrick
5,Booth Tarkington,Mary's Neck,fiction,1932,Mary's Neck Booth Tarkington,Mary's+Neck+Booth+Tarkington
6,Louis Golding,Magnolia Street,fiction,1932,Magnolia Street Louis Golding,Magnolia+Street+Louis+Golding
7,Julia Peterkin,Bright Skin,fiction,1932,Bright Skin Julia Peterkin,Bright+Skin+Julia+Peterkin
8,Louis Bromfield,A Modern Hero,fiction,1932,A Modern Hero Louis Bromfield,A+Modern+Hero+Louis+Bromfield
9,Pearl S. Buck,The Good Earth,fiction,1932,The Good Earth Pearl S. Buck,The+Good+Earth+Pearl+S.+Buck
10,Faith Baldwin,District Nurse,fiction,1932,District Nurse Faith Baldwin,District+Nurse+Faith+Baldwin
11,Charles Langbridge Morgan,The Fountain,fiction,1932,The Fountain Charles Langbridge Morgan,The+Fountain+Charles+Langbridge+Morgan
12,J. B. Priestley,Faraway,fiction,1932,Faraway J. B. Priestley,Faraway+J.+B.+Priestley
13,Mazo De La Roche,Lark Ascending,fiction,1932,Lark Ascending Mazo De La Roche,Lark+Ascending+Mazo+De+La+Roche
14,Manuel Komroff,A New York Tempest,fiction,1932,A New York Tempest Manuel Komroff,A+New+York+Tempest+Manuel+Komroff
15,Ellen Glasgow,The Sheltered Life,fiction,1932,The Sheltered Life Ellen Glasgow,The+Sheltered+Life+Ellen+Glasgow
16,Pearl S. Buck,Sons,fiction,1932,Sons Pearl S. Buck,Sons+Pearl+S.+Buck
17,Rosamond Lehmann,Invitation to the Waltz,fiction,1932,Invitation to the Waltz Rosamond Lehmann,Invitation+to+the+Waltz+Rosamond+Lehmann
18,John Galsworthy,Flowering Wilderness,fiction,1932,Flowering Wilderness John Galsworthy,Flowering+Wilderness+John+Galsworthy
19,James Gould Cozzens,The Last Adam,fiction,1933,The Last Adam James Gould Cozzens,The+Last+Adam+James+Gould+Cozzens
20,Sinclair Lewis,Ann Vickers,fiction,1933,Ann Vickers Sinclair Lewis,Ann+Vickers+Sinclair+Lewis
21,Guy Endore,The Werewolf of Paris,fiction,1933,The Werewolf of Paris Guy Endore,The+Werewolf+of+Paris+Guy+Endore
22,Thorne Smith,Rain in the Doorway,fiction,1933,Rain in the Doorway Thorne Smith,Rain+in+the+Doorway+Thorne+Smith
23,Gladys Hasty Carroll,As the Earth Turns,fiction,1933,As the Earth Turns Gladys Hasty Carroll,As+the+Earth+Turns+Gladys+Hasty+Carroll
24,T. S. Stribling,The Store,fiction,1933,The Store T. S. Stribling,The+Store+T.+S.+Stribling
25,Hans Fallada,"Little Man, What Now?",fiction,1933,"Little Man, What Now? Hans Fallada","Little+Man,+What+Now?+Hans+Fallada"
26,Hervey Allen,Anthony Adverse,fiction,1933,Anthony Adverse Hervey Allen,Anthony+Adverse+Hervey+Allen
27,,,fiction,1933,,
28,Dashiell Hammett,The Thin Man,fiction,1934,The Thin Man Dashiell Hammett,The+Thin+Man+Dashiell+Hammett
29,Sinclair Lewis,Work of Art,fiction,1934,Work of Art Sinclair Lewis,Work+of+Art+Sinclair+Lewis
30,Lion Feuchtwanger,The Oppermanns,fiction,1934,The Oppermanns Lion Feuchtwanger,The+Oppermanns+Lion+Feuchtwanger
31,Isak Dinesen,Seven Gothic Tales,fiction,1934,Seven Gothic Tales Isak Dinesen,Seven+Gothic+Tales+Isak+Dinesen
32,F. Scott Fitzgerald,Tender is the Night,fiction,1934,Tender is the Night F. Scott Fitzgerald,Tender+is+the+Night+F.+Scott+Fitzgerald
33,Caroline Miller,Lamb in His Bosom,fiction,1934,Lamb in His Bosom Caroline Miller,Lamb+in+His+Bosom+Caroline+Miller
34,Louis Golding,Five Silver Daughters,fiction,1934,Five Silver Daughters Louis Golding,Five+Silver+Daughters+Louis+Golding
35,Robert Graves,"I, Claudius",fiction,1934,"I, Claudius Robert Graves","I,+Claudius+Robert+Graves"
36,Stark Young,So Red the Rose,fiction,1934,So Red the Rose Stark Young,So+Red+the+Rose+Stark+Young
37,Hervey Allen,Lost Horizon,fiction,1934,Lost Horizon Hervey Allen,Lost+Horizon+Hervey+Allen
38,Franz Werfel,The Forty Days of Musa Dagh,fiction,1934,The Forty Days of Musa Dagh Franz Werfel,The+Forty+Days+of+Musa+Dagh+Franz+Werfel
39,Thornton Wilder,Heaven's My Destination,fiction,1935,Heaven's My Destination Thornton Wilder,Heaven's+My+Destination+Thornton+Wilder
40,Edna Ferber,Come and Get It,fiction,1935,Come and Get It Edna Ferber,Come+and+Get+It+Edna+Ferber
41,Thomas Wolfe,Of Time and the River,fiction,1935,Of Time and the River Thomas Wolfe,Of+Time+and+the+River+Thomas+Wolfe
42,Lloyd C. Douglas,Green Light,fiction,1935,Green Light Lloyd C. Douglas,Green+Light+Lloyd+C.+Douglas
43,Josephine Johnson,Now in November,fiction,1935,Now in November Josephine Johnson,Now+in+November+Josephine+Johnson
44,Mazo De La Roche,Young Renny,fiction,1935,Young Renny Mazo De La Roche,Young+Renny+Mazo+De+La+Roche
45,Humphrey Cobb,Paths of Glory,fiction,1935,Paths of Glory Humphrey Cobb,Paths+of+Glory+Humphrey+Cobb
46,Willa Cather,Lucy Gayheart,fiction,1935,Lucy Gayheart Willa Cather,Lucy+Gayheart+Willa+Cather
47,Ellen Glasgow,Vein of Iron,fiction,1935,Vein of Iron Ellen Glasgow,Vein+of+Iron+Ellen+Glasgow
48,Robert Briffault,Europa,fiction,1935,Europa Robert Briffault,Europa+Robert+Briffault
49,Sinclair Lewis,It Can't Happen Here,fiction,1935,It Can't Happen Here Sinclair Lewis,It+Can't+Happen+Here+Sinclair+Lewis
50,Josephine Lawrence,If I Have Four Apples,fiction,1936,If I Have Four Apples Josephine Lawrence,If+I+Have+Four+Apples+Josephine+Lawrence
51,George Santayana,The Last Puritan,fiction,1936,The Last Puritan George Santayana,The+Last+Puritan+George+Santayana
52,Charles Langbridge Morgan,Sparkenbroke,fiction,1936,Sparkenbroke Charles Langbridge Morgan,Sparkenbroke+Charles+Langbridge+Morgan
53,Rosamond Lehmann,The Weather in the Streets,fiction,1936,The Weather in the Streets Rosamond Lehmann,The+Weather+in+the+Streets+Rosamond+Lehmann
54,Mary Roberts Rinehart,The Doctor,fiction,1936,The Doctor Mary Roberts Rinehart,The+Doctor+Mary+Roberts+Rinehart
55,Vincent Sheean,Sanfelice,fiction,1936,Sanfelice Vincent Sheean,Sanfelice+Vincent+Sheean
56,Margaret Mitchell,Gone with the Wind,fiction,1936,Gone with the Wind Margaret Mitchell,Gone+with+the+Wind+Margaret+Mitchell
57,Walter D. Edmonds,Drums Along the Mohawk,fiction,1937,Drums Along the Mohawk Walter D. Edmonds,Drums+Along+the+Mohawk+Walter+D.+Edmonds
58,Somerset Maugham,Theatre,fiction,1937,Theatre Somerset Maugham,Theatre+Somerset+Maugham
59,Virginia Woolf,The Years,fiction,1937,The Years Virginia Woolf,The+Years+Virginia+Woolf
60,Millen Brand,The Outward Room,fiction,1937,The Outward Room Millen Brand,The+Outward+Room+Millen+Brand
61,Kenneth Roberts,Northwest Passage,fiction,1937,Northwest Passage Kenneth Roberts,Northwest+Passage+Kenneth+Roberts
62,A. J. Cronin,The Citadel,fiction,1937,The Citadel A. J. Cronin,The+Citadel+A.+J.+Cronin
63,Sinclair Lewis,The Prodigal Parents,fiction,1938,The Prodigal Parents Sinclair Lewis,The+Prodigal+Parents+Sinclair+Lewis
64,Hervey Allen,Action at Aquila,fiction,1938,Action at Aquila Hervey Allen,Action+at+Aquila+Hervey+Allen
65,Marjorie Kinnan Rawlings,The Yearling,fiction,1938,The Yearling Marjorie Kinnan Rawlings,The+Yearling+Marjorie+Kinnan+Rawlings
66,Howard Spring,"My Son, My Son!",fiction,1938,"My Son, My Son! Howard Spring","My+Son,+My+Son!+Howard+Spring"
67,Daphne du Maurier,Rebecca,fiction,1938,Rebecca Daphne du Maurier,Rebecca+Daphne+du+Maurier
68,Rachel Field,All This and Heaven Too,fiction,1938,All This and Heaven Too Rachel Field,All+This+and+Heaven+Too+Rachel+Field
69,John P. Marquand,Wickford Point,fiction,1939,Wickford Point John P. Marquand,Wickford+Point+John+P.+Marquand
70,John Steinbeck,The Grapes of Wrath,fiction,1939,The Grapes of Wrath John Steinbeck,The+Grapes+of+Wrath+John+Steinbeck
71,Ethel Vance,Escape,fiction,1939,Escape Ethel Vance,Escape+Ethel+Vance
72,Christopher Morley,Kitty Foyle,fiction,1939,Kitty Foyle Christopher Morley,Kitty+Foyle+Christopher+Morley
73,Sholem Asch,The Nazarene,fiction,1939,The Nazarene Sholem Asch,The+Nazarene+Sholem+Asch
74,Lin Yutang,Moment in Peking,fiction,1939,Moment in Peking Lin Yutang,Moment+in+Peking+Lin+Yutang
75,Richard Llewellyn,How Green Was My Valley,fiction,1940,How Green Was My Valley Richard Llewellyn,How+Green+Was+My+Valley+Richard+Llewellyn
76,Richard Wright,Native Son,fiction,1940,Native Son Richard Wright,Native+Son+Richard+Wright
77,F. Van Wyck Mason,Stars on the Sea,fiction,1940,Stars on the Sea F. Van Wyck Mason,Stars+on+the+Sea+F.+Van+Wyck+Mason
78,Jan Struther,Mrs. Miniver,fiction,1940,Mrs. Miniver Jan Struther,Mrs.+Miniver+Jan+Struther
79,Thomas Mann,The Beloved Returns,fiction,1940,The Beloved Returns Thomas Mann,The+Beloved+Returns+Thomas+Mann
80,Thomas Wolfe,You Can't Go Home Again,fiction,1940,You Can't Go Home Again Thomas Wolfe,You+Can't+Go+Home+Again+Thomas+Wolfe
81,Ernest Hemingway,For Whom the Bell Tolls,fiction,1940,For Whom the Bell Tolls Ernest Hemingway,For+Whom+the+Bell+Tolls+Ernest+Hemingway
82,Kenneth Roberts,Oliver Wiswell,fiction,1940,Oliver Wiswell Kenneth Roberts,Oliver+Wiswell+Kenneth+Roberts
83,James Hilton,Random Harvest,fiction,1941,Random Harvest James Hilton,Random+Harvest+James+Hilton
84,Eric Knight,This Above All,fiction,1941,This Above All Eric Knight,This+Above+All+Eric+Knight
85,A.J. Cronin,The Keys of the Kingdom,fiction,1941,The Keys of the Kingdom A.J. Cronin,The+Keys+of+the+Kingdom+A.J.+Cronin
86,Edna Ferber,Saratoga Trunk,fiction,1941,Saratoga Trunk Edna Ferber,Saratoga+Trunk+Edna+Ferber
87,Mary Ellen Chase,Windswept,fiction,1941,Windswept Mary Ellen Chase,Windswept+Mary+Ellen+Chase
88,Pearl S. Buck,Dragon Seed,fiction,1942,Dragon Seed Pearl S. Buck,Dragon+Seed+Pearl+S.+Buck
89,Daphne du Maurier,Frenchman's Creek,fiction,1942,Frenchman's Creek Daphne du Maurier,Frenchman's+Creek+Daphne+du+Maurier
90,John Steinbeck,The Moon Is Down,fiction,1942,The Moon Is Down John Steinbeck,The+Moon+Is+Down+John+Steinbeck
91,Rachel Field,And Now Tomorrow,fiction,1942,And Now Tomorrow Rachel Field,And+Now+Tomorrow+Rachel+Field
92,Franz Werfel,The Song of Bernadette,fiction,1942,The Song of Bernadette Franz Werfel,The+Song+of+Bernadette+Franz+Werfel
93,Elizabeth Chevalier,Drivin' Woman,fiction,1942,Drivin' Woman Elizabeth Chevalier,Drivin'+Woman+Elizabeth+Chevalier
94,Lloyd Douglas,The Robe,fiction,1942,The Robe Lloyd Douglas,The+Robe+Lloyd+Douglas
95,Louis Bromfield,Mrs. Parkington,fiction,1943,Mrs. Parkington Louis Bromfield,Mrs.+Parkington+Louis+Bromfield
96,John P. Marquand,So Little Time,fiction,1943,So Little Time John P. Marquand,So+Little+Time+John+P.+Marquand
97,Betty Smith,A Tree Grows in Brooklyn,fiction,1944,A Tree Grows in Brooklyn Betty Smith,A+Tree+Grows+in+Brooklyn+Betty+Smith
98,Lillian Smith,Strange Fruit,fiction,1944,Strange Fruit Lillian Smith,Strange+Fruit+Lillian+Smith
99,Somerset Maugham,The Razor's Edge,fiction,1944,The Razor's Edge Somerset Maugham,The+Razor's+Edge+Somerset+Maugham
100,Elizabeth Goudge,Green Dolphin Street,fiction,1944,Green Dolphin Street Elizabeth Goudge,Green+Dolphin+Street+Elizabeth+Goudge
101,Kathleen Winsor,Forever Amber,fiction,1944,Forever Amber Kathleen Winsor,Forever+Amber+Kathleen+Winsor
102,A. J. Cronin,The Green Years,fiction,1944,The Green Years A. J. Cronin,The+Green+Years+A.+J.+Cronin
103,Gwethalyn Graham,Earth and High Heaven,fiction,1945,Earth and High Heaven Gwethalyn Graham,Earth+and+High+Heaven+Gwethalyn+Graham
104,Samuel Shellabarger,Captain from Castile,fiction,1945,Captain from Castile Samuel Shellabarger,Captain+from+Castile+Samuel+Shellabarger
105,Adria Locke Langley,A Lion is in the Streets,fiction,1945,A Lion is in the Streets Adria Locke Langley,A+Lion+is+in+the+Streets+Adria+Locke+Langley
106,James Hilton,So Well Remembered,fiction,1945,So Well Remembered James Hilton,So+Well+Remembered+James+Hilton
107,Thomas B. Costain,The Black Rose,fiction,1945,The Black Rose Thomas B. Costain,The+Black+Rose+Thomas+B.+Costain
108,John P. Marquand,B.F.'s Daughter,fiction,1947,B.F.'s Daughter John P. Marquand,B.F.'s+Daughter+John+P.+Marquand
109,Kenneth Roberts,Lydia Bailey,fiction,1947,Lydia Bailey Kenneth Roberts,Lydia+Bailey+Kenneth+Roberts
110,Laura Z. Hobson,Gentlemen's Agreement,fiction,1947,Gentlemen's Agreement Laura Z. Hobson,Gentlemen's+Agreement+Laura+Z.+Hobson
111,Sinclair Lewis,Kingsblood Royal,fiction,1947,Kingsblood Royal Sinclair Lewis,Kingsblood+Royal+Sinclair+Lewis
112,Thomas Costain,The Moneyman,fiction,1947,The Moneyman Thomas Costain,The+Moneyman+Thomas+Costain
113,Ben Ames Williams,House Divided,fiction,1947,House Divided Ben Ames Williams,House+Divided+Ben+Ames+Williams
114,Marcia Davenport,"East Side, West Side",fiction,1948,"East Side, West Side Marcia Davenport","East+Side,+West+Side+Marcia+Davenport"
115,Van Wyck Mason,Eagle in the Sky,fiction,1948,Eagle in the Sky Van Wyck Mason,Eagle+in+the+Sky+Van+Wyck+Mason
116,Thornton Wilder,The Ides of March,fiction,1948,The Ides of March Thornton Wilder,The+Ides+of+March+Thornton+Wilder
117,Ross Lockridge,Raintree County,fiction,1948,Raintree County Ross Lockridge,Raintree+County+Ross+Lockridge
118,unknown; not clear from source,unknown; not clear from source,fiction,1948,unknown; not clear from source unknown; not clear from source,unknown;+not+clear+from+source+unknown;+not+clear+from+source
119,Elizabeth Goudge,Pilgrim's Inn,fiction,1948,Pilgrim's Inn Elizabeth Goudge,Pilgrim's+Inn+Elizabeth+Goudge
120,Norman Mailer,The Naked and the Dead,fiction,1948,The Naked and the Dead Norman Mailer,The+Naked+and+the+Dead+Norman+Mailer
121,A. J. Cronin,Shannon's Way,fiction,1948,Shannon's Way A. J. Cronin,Shannon's+Way+A.+J.+Cronin
122,Irwin Shaw,The Young Lions,fiction,1948,The Young Lions Irwin Shaw,The+Young+Lions+Irwin+Shaw
123,Lloyd C. Douglas,The Big Fisherman,fiction,1948,The Big Fisherman Lloyd C. Douglas,The+Big+Fisherman+Lloyd+C.+Douglas
124,John P. Marquand,Point of No Return,fiction,1949,Point of No Return John P. Marquand,Point+of+No+Return+John+P.+Marquand
125,John O'Hara,A Rage To Live,fiction,1949,A Rage To Live John O'Hara,A+Rage+To+Live+John+O'Hara
126,Mika Waltari,The Egyptian,fiction,1949,The Egyptian Mika Waltari,The+Egyptian+Mika+Waltari
127,Daphne du Maurier,The Parasites,fiction,1950,The Parasites Daphne du Maurier,The+Parasites+Daphne+du+Maurier
128,John Hersey,The Wall,fiction,1950,The Wall John Hersey,The+Wall+John+Hersey
129,Henry Morton Robinson,The Cardinal,fiction,1950,The Cardinal Henry Morton Robinson,The+Cardinal+Henry+Morton+Robinson
130,Ernest Hemingway,Across the River and into the Trees,fiction,1950,Across the River and into the Trees Ernest Hemingway,Across+the+River+and+into+the+Trees+Ernest+Hemingway
131,Budd Schulberg,The Disenchanted,fiction,1950,The Disenchanted Budd Schulberg,The+Disenchanted+Budd+Schulberg
132,Frances Parkinson Keyes,Joy Street,fiction,1951,Joy Street Frances Parkinson Keyes,Joy+Street+Frances+Parkinson+Keyes
133,James Jones,From Here to Eternity,fiction,1951,From Here to Eternity James Jones,From+Here+to+Eternity+James+Jones
134,Herman Wouk,The Caine Mutiny,fiction,1951,The Caine Mutiny Herman Wouk,The+Caine+Mutiny+Herman+Wouk
135,Daphne du Maurier,My Cousin Rachel,fiction,1952,My Cousin Rachel Daphne du Maurier,My+Cousin+Rachel+Daphne+du+Maurier
136,Thomas B. Costain,The Silver Chalice,fiction,1952,The Silver Chalice Thomas B. Costain,The+Silver+Chalice+Thomas+B.+Costain
137,John Steinbeck,East of Eden,fiction,1952,East of Eden John Steinbeck,East+of+Eden+John+Steinbeck
138,Annemarie Selinko,Désirée,fiction,1953,Désirée Annemarie Selinko,Désirée+Annemarie+Selinko
139,A.J. Cronin,Beyond This Place,fiction,1953,Beyond This Place A.J. Cronin,Beyond+This+Place+A.J.+Cronin
140,Samuel Shellabarger,Lord Vanity,fiction,1953,Lord Vanity Samuel Shellabarger,Lord+Vanity+Samuel+Shellabarger
141,Morton Thompson,Not as a Stranger,fiction,1954,Not as a Stranger Morton Thompson,Not+as+a+Stranger+Morton+Thompson
142,Daphne du Maurier,Mary Anne,fiction,1954,Mary Anne Daphne du Maurier,Mary+Anne+Daphne+du+Maurier
143,Irving Stone,Love is Eternal,fiction,1954,Love is Eternal Irving Stone,Love+is+Eternal+Irving+Stone
144,Hamilton Basso,The View from Pompey's Head,fiction,1955,The View from Pompey's Head Hamilton Basso,The+View+from+Pompey's+Head+Hamilton+Basso
145,John P. Marquand,"Sincerely, Willis Wayde",fiction,1955,"Sincerely, Willis Wayde John P. Marquand","Sincerely,+Willis+Wayde+John+P.+Marquand"
146,Françoise Sagan,Bonjour Tristesse,fiction,1955,Bonjour Tristesse Françoise Sagan,Bonjour+Tristesse+Françoise+Sagan
147,Robert Ruark,Something of Value,fiction,1955,Something of Value Robert Ruark,Something+of+Value+Robert+Ruark
148,Patrick Dennis,Auntie Mame,fiction,1955,Auntie Mame Patrick Dennis,Auntie+Mame+Patrick+Dennis
149,Herman Wouk,Marjorie Morningstar,fiction,1955,Marjorie Morningstar Herman Wouk,Marjorie+Morningstar+Herman+Wouk
150,MacKinlay Kantor,Andersonville,fiction,1956,Andersonville MacKinlay Kantor,Andersonville+MacKinlay+Kantor
151,Edwin O'Connor,The Last Hurrah,fiction,1956,The Last Hurrah Edwin O'Connor,The+Last+Hurrah+Edwin+O'Connor
152,William Brinkley,Don't Go Near the Water,fiction,1956,Don't Go Near the Water William Brinkley,Don't+Go+Near+the+Water+William+Brinkley
153,Grace Metalious,Peyton Place,fiction,1956,Peyton Place Grace Metalious,Peyton+Place+Grace+Metalious
154,Daphne du Maurier,The Scapegoat,fiction,1957,The Scapegoat Daphne du Maurier,The+Scapegoat+Daphne+du+Maurier
155,James Gould Cozzens,By Love Possessed,fiction,1957,By Love Possessed James Gould Cozzens,By+Love+Possessed+James+Gould+Cozzens
156,Robert Traver,Anatomy of a Murder,fiction,1958,Anatomy of a Murder Robert Traver,Anatomy+of+a+Murder+Robert+Traver
157,Vladimir Nabokov,Lolita,fiction,1958,Lolita Vladimir Nabokov,Lolita+Vladimir+Nabokov
158,Boris Pasternak,Doctor Zhivago,fiction,1958,Doctor Zhivago Boris Pasternak,Doctor+Zhivago+Boris+Pasternak
159,Leon Uris,Exodus,fiction,1959,Exodus Leon Uris,Exodus+Leon+Uris
160,Allen Drury,Advise and Consent,fiction,1959,Advise and Consent Allen Drury,Advise+and+Consent+Allen+Drury
161,James Michener,Hawaii,fiction,1960,Hawaii James Michener,Hawaii+James+Michener
162,André Schwarz-Bart,The Last of the Just,fiction,1961,The Last of the Just André Schwarz-Bart,The+Last+of+the+Just+André+Schwarz-Bart
163,Irving Stone,The Agony and the Ecstasy,fiction,1961,The Agony and the Ecstasy Irving Stone,The+Agony+and+the+Ecstasy+Irving+Stone
164,J.D. Salinger,Franny and Zooey,fiction,1961,Franny and Zooey J.D. Salinger,Franny+and+Zooey+J.D.+Salinger
165,Katherine Anne Porter,Ship of Fools,fiction,1962,Ship of Fools Katherine Anne Porter,Ship+of+Fools+Katherine+Anne+Porter
166,Allen Drury,A Shade of Difference,fiction,1962,A Shade of Difference Allen Drury,A+Shade+of+Difference+Allen+Drury
167,Fletcher Knebel,Seven Days in May,fiction,1962,Seven Days in May Fletcher Knebel,Seven+Days+in+May+Fletcher+Knebel
168,Not published due to the Newspaper Strike,Not published due to the Newspaper Strike,fiction,1962,Not published due to the Newspaper Strike Not published due to the Newspaper Strike,Not+published+due+to+the+Newspaper+Strike+Not+published+due+to+the+Newspaper+Strike
169,J. D. Salinger,"Raise High the Roof Beam, Carpenters",fiction,1963,"Raise High the Roof Beam, Carpenters J. D. Salinger","Raise+High+the+Roof+Beam,+Carpenters+J.+D.+Salinger"
170,Daphne du Maurier,The Glass-Blowers,fiction,1963,The Glass-Blowers Daphne du Maurier,The+Glass-Blowers+Daphne+du+Maurier
171,Morris West,The Shoes of the Fisherman,fiction,1963,The Shoes of the Fisherman Morris West,The+Shoes+of+the+Fisherman+Morris+West
172,Mary McCarthy,The Group,fiction,1963,The Group Mary McCarthy,The+Group+Mary+McCarthy
173,John le Carré,The Spy Who Came in from the Cold,fiction,1964,The Spy Who Came in from the Cold John le Carré,The+Spy+Who+Came+in+from+the+Cold+John+le+Carré
174,Louis Auchincloss,The Rector of Justin,fiction,1964,The Rector of Justin Louis Auchincloss,The+Rector+of+Justin+Louis+Auchincloss
175,Saul Bellow,Herzog,fiction,1964,Herzog Saul Bellow,Herzog+Saul+Bellow
176,Bel Kaufman,Up the Down Staircase,fiction,1965,Up the Down Staircase Bel Kaufman,Up+the+Down+Staircase+Bel+Kaufman
177,James Michener,The Source,fiction,1965,The Source James Michener,The+Source+James+Michener
178,Not published due to newspaper strike,Not published due to newspaper strike,fiction,1965,Not published due to newspaper strike Not published due to newspaper strike,Not+published+due+to+newspaper+strike+Not+published+due+to+newspaper+strike
179,Jacqueline Susann,Valley of the Dolls,fiction,1966,Valley of the Dolls Jacqueline Susann,Valley+of+the+Dolls+Jacqueline+Susann
180,Robert Crichton,The Secret of Santa Vittoria,fiction,1966,The Secret of Santa Vittoria Robert Crichton,The+Secret+of+Santa+Vittoria+Robert+Crichton
181,Elia Kazan,The Arrangement,fiction,1967,The Arrangement Elia Kazan,The+Arrangement+Elia+Kazan
182,Thornton Wilder,The Eighth Day,fiction,1967,The Eighth Day Thornton Wilder,The+Eighth+Day+Thornton+Wilder
183,Chaim Potok,The Chosen,fiction,1967,The Chosen Chaim Potok,The+Chosen+Chaim+Potok
184,Leon Uris,Topaz,fiction,1967,Topaz Leon Uris,Topaz+Leon+Uris
185,Mary Stewart,The Gabriel Hounds,fiction,1967,The Gabriel Hounds Mary Stewart,The+Gabriel+Hounds+Mary+Stewart
186,William Styron,The Confessions of Nat Turner,fiction,1967,The Confessions of Nat Turner William Styron,The+Confessions+of+Nat+Turner+William+Styron
187,Fletcher Knebel,Vanished,fiction,1968,Vanished Fletcher Knebel,Vanished+Fletcher+Knebel
188,Arthur Hailey,Airport,fiction,1968,Airport Arthur Hailey,Airport+Arthur+Hailey
189,John Updike,Couples,fiction,1968,Couples John Updike,Couples+John+Updike
190,Helen MacInnes,The Salzburg Connection,fiction,1968,The Salzburg Connection Helen MacInnes,The+Salzburg+Connection+Helen+MacInnes
191,Philip Roth,Portnoy's Complaint,fiction,1969,Portnoy's Complaint Philip Roth,Portnoy's+Complaint+Philip+Roth
192,Jacqueline Susann,The Love Machine,fiction,1969,The Love Machine Jacqueline Susann,The+Love+Machine+Jacqueline+Susann
193,Mario Puzo,The Godfather,fiction,1969,The Godfather Mario Puzo,The+Godfather+Mario+Puzo
194,John Fowles,The French Lieutenant's Woman,fiction,1970,The French Lieutenant's Woman John Fowles,The+French+Lieutenant's+Woman+John+Fowles
195,Erich Segal,Love Story,fiction,1970,Love Story Erich Segal,Love+Story+Erich+Segal
196,Leon Uris,QB VII,fiction,1971,QB VII Leon Uris,QB+VII+Leon+Uris
197,Irving Stone,The Passions of the Mind,fiction,1971,The Passions of the Mind Irving Stone,The+Passions+of+the+Mind+Irving+Stone
198,William Peter Blatty,The Exorcist,fiction,1971,The Exorcist William Peter Blatty,The+Exorcist+William+Peter+Blatty
199,Frederick Forsyth,The Day of the Jackal,fiction,1971,The Day of the Jackal Frederick Forsyth,The+Day+of+the+Jackal+Frederick+Forsyth
200,Arthur Hailey,Wheels,fiction,1971,Wheels Arthur Hailey,Wheels+Arthur+Hailey
201,Herman Wouk,The Winds of War,fiction,1972,The Winds of War Herman Wouk,The+Winds+of+War+Herman+Wouk
202,Irving Wallace,The Word,fiction,1972,The Word Irving Wallace,The+Word+Irving+Wallace
203,Richard Bach,Jonathan Livingston Seagull,fiction,1972,Jonathan Livingston Seagull Richard Bach,Jonathan+Livingston+Seagull+Richard+Bach
204,Frederick Forsyth,The Odessa File,fiction,1973,The Odessa File Frederick Forsyth,The+Odessa+File+Frederick+Forsyth
205,Jacqueline Susann,Once Is Not Enough,fiction,1973,Once Is Not Enough Jacqueline Susann,Once+Is+Not+Enough+Jacqueline+Susann
206,Kurt Vonnegut,Breakfast of Champions,fiction,1973,Breakfast of Champions Kurt Vonnegut,Breakfast+of+Champions+Kurt+Vonnegut
207,Mary Stewart,The Hollow Hills,fiction,1973,The Hollow Hills Mary Stewart,The+Hollow+Hills+Mary+Stewart
208,Graham Greene,The Honorary Consul,fiction,1973,The Honorary Consul Graham Greene,The+Honorary+Consul+Graham+Greene
209,Gore Vidal,Burr,fiction,1973,Burr Gore Vidal,Burr+Gore+Vidal
210,Richard Adams,Watership Down,fiction,1974,Watership Down Richard Adams,Watership+Down+Richard+Adams
211,John le Carré,Tinker Tailor Soldier Spy,fiction,1974,Tinker Tailor Soldier Spy John le Carré,Tinker+Tailor+Soldier+Spy+John+le+Carré
212,James Michener,Centennial,fiction,1974,Centennial James Michener,Centennial+James+Michener
213,Joseph Heller,Something Happened,fiction,1975,Something Happened Joseph Heller,Something+Happened+Joseph+Heller
214,Arthur Hailey,The Moneychangers,fiction,1975,The Moneychangers Arthur Hailey,The+Moneychangers+Arthur+Hailey
215,Judith Rossner,Looking for Mr. Goodbar,fiction,1975,Looking for Mr. Goodbar Judith Rossner,Looking+for+Mr.+Goodbar+Judith+Rossner
216,E. L. Doctorow,Ragtime,fiction,1975,Ragtime E. L. Doctorow,Ragtime+E.+L.+Doctorow
217,Agatha Christie,Curtain,fiction,1975,Curtain Agatha Christie,Curtain+Agatha+Christie
218,Gore Vidal,1876,fiction,1976,1876 Gore Vidal,1876+Gore+Vidal
219,Leon Uris,Trinity,fiction,1976,Trinity Leon Uris,Trinity+Leon+Uris
220,Agatha Christie,Sleeping Murder,fiction,1976,Sleeping Murder Agatha Christie,Sleeping+Murder+Agatha+Christie
221,Erich Segal,Oliver's Story,fiction,1977,Oliver's Story Erich Segal,Oliver's+Story+Erich+Segal
